event_url,tag
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261211_03&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026K200_01&sesID=1,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026K200_01&sesID=1,教師
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=2026K200_01&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261200_01&sesID=1,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261200_01&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20262201_02&sesID=1,教師
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20262201_02&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20262201_02&sesID=2,遠距參加
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20262201_02&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20263752_01&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_06&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_06&sesID=3,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261304_06&sesID=3,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_02&sesID=1,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_02&sesID=1,教師
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_02&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_02&sesID=2,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_02&sesID=2,教師
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_02&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_02&sesID=3,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_02&sesID=3,教師
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_02&sesID=3,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_02&sesID=4,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_02&sesID=4,教師
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20261911_02&sesID=4,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=1,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=1,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=1,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=2,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=2,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=2,校外人士
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=2,校友
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=2,教師
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=2,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=3,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=3,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=3,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=4,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=4,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=5,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=5,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=6,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=6,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=7,學生
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=7,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=8,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=8,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=9,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=9,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=10,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=10,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=11,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=11,免報名費
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=12,免費餐點
https://my.ntu.edu.tw/actregister/sessionView.aspx?actID=20265300_01&sesID=12,免報名費
